Generators,Resources,Periods,Problem size,Generated energy variable annealer,Commitment variable annealer,Start variable annealer,Shut variable annealer,Operational cost annealer,QPU access time,QPU charge time,QPU run time
19,natural_gas_fired_combustion_turbine,16,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
19,natural_gas_fired_combustion_turbine,17,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
19,natural_gas_fired_combustion_turbine,18,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
19,natural_gas_fired_combustion_turbine,19,480,33.0,1.0,,,1420283.852700003,32042,4927230,4927230
19,natural_gas_fired_combustion_turbine,2,480,33.0,1.0,,,1420283.852700003,32042,4927230,4927230
19,natural_gas_fired_combustion_turbine,20,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
19,natural_gas_fired_combustion_turbine,21,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
19,natural_gas_fired_combustion_turbine,22,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
19,natural_gas_fired_combustion_turbine,23,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
19,natural_gas_fired_combustion_turbine,3,480,48.0,1.0,,,1420283.852700003,32042,4927230,4927230
19,natural_gas_fired_combustion_turbine,4,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
19,natural_gas_fired_combustion_turbine,5,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
19,natural_gas_fired_combustion_turbine,6,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
19,natural_gas_fired_combustion_turbine,7,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
19,natural_gas_fired_combustion_turbine,8,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
19,natural_gas_fired_combustion_turbine,9,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
1,hydroelectric_pumped_storage,0,480,42.0,,,,1420283.852700003,32042,4927230,4927230
1,hydroelectric_pumped_storage,1,480,42.0,,,,1420283.852700003,32042,4927230,4927230
1,hydroelectric_pumped_storage,10,480,42.0,,,,1420283.852700003,32042,4927230,4927230
1,hydroelectric_pumped_storage,11,480,42.0,,,,1420283.852700003,32042,4927230,4927230
1,hydroelectric_pumped_storage,12,480,42.0,,,,1420283.852700003,32042,4927230,4927230
1,hydroelectric_pumped_storage,13,480,42.0,,,,1420283.852700003,32042,4927230,4927230
1,hydroelectric_pumped_storage,14,480,42.0,,,,1420283.852700003,32042,4927230,4927230
