Generator,Resource,Time,Size,Variables,Generated Energy annealer,Status annealer,Cost annealer,QPU access time [s],QPU charge time [s],QPU run time [s],Generated Energy classical,Generator status classical,Classical cost,Classical execution time [s],Iteration
4,natural_gas_fired_combined_cycle,15,240,480,25.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
4,natural_gas_fired_combined_cycle,16,240,480,25.0,1.0,714716.2874000008,0.016028,5.0,5.001085,28.0,1.0,609551.1779999998,0.21164578400021128,0
4,natural_gas_fired_combined_cycle,17,240,480,25.0,1.0,714716.2874000008,0.016028,5.0,5.001085,49.0,1.0,609551.1779999998,0.21164578400021128,0
4,natural_gas_fired_combined_cycle,18,240,480,25.0,1.0,714716.2874000008,0.016028,5.0,5.001085,49.0,1.0,609551.1779999998,0.21164578400021128,0
4,natural_gas_fired_combined_cycle,19,240,480,25.0,1.0,714716.2874000008,0.016028,5.0,5.001085,49.0,1.0,609551.1779999998,0.21164578400021128,0
4,natural_gas_fired_combined_cycle,2,240,480,32.0,1.0,714716.2874000008,0.016028,5.0,5.001085,49.0,1.0,609551.1779999998,0.21164578400021128,0
4,natural_gas_fired_combined_cycle,20,240,480,32.0,1.0,714716.2874000008,0.016028,5.0,5.001085,44.0,1.0,609551.1779999998,0.21164578400021128,0
4,natural_gas_fired_combined_cycle,21,240,480,25.0,1.0,714716.2874000008,0.016028,5.0,5.001085,49.0,1.0,609551.1779999998,0.21164578400021128,0
4,natural_gas_fired_combined_cycle,22,240,480,49.0,1.0,714716.2874000008,0.016028,5.0,5.001085,49.0,1.0,609551.1779999998,0.21164578400021128,0
4,natural_gas_fired_combined_cycle,23,240,480,25.0,1.0,714716.2874000008,0.016028,5.0,5.001085,25.0,1.0,609551.1779999998,0.21164578400021128,0
4,natural_gas_fired_combined_cycle,3,240,480,49.0,1.0,714716.2874000008,0.016028,5.0,5.001085,49.0,1.0,609551.1779999998,0.21164578400021128,0
4,natural_gas_fired_combined_cycle,4,240,480,49.0,1.0,714716.2874000008,0.016028,5.0,5.001085,49.0,1.0,609551.1779999998,0.21164578400021128,0
4,natural_gas_fired_combined_cycle,5,240,480,49.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
4,natural_gas_fired_combined_cycle,6,240,480,25.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
4,natural_gas_fired_combined_cycle,7,240,480,49.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
4,natural_gas_fired_combined_cycle,8,240,480,25.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
4,natural_gas_fired_combined_cycle,9,240,480,25.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,0,240,480,311.0,1.0,714716.2874000008,0.016028,5.0,5.001085,570.0,1.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,1,240,480,384.0,1.0,714716.2874000008,0.016028,5.0,5.001085,570.0,1.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,10,240,480,337.0,1.0,714716.2874000008,0.016028,5.0,5.001085,463.0,1.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,11,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,503.0,1.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,12,240,480,336.0,1.0,714716.2874000008,0.016028,5.0,5.001085,422.0,1.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,13,240,480,523.0,1.0,714716.2874000008,0.016028,5.0,5.001085,570.0,1.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,14,240,480,320.0,1.0,714716.2874000008,0.016028,5.0,5.001085,570.0,1.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,15,240,480,340.0,1.0,714716.2874000008,0.016028,5.0,5.001085,570.0,1.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,16,240,480,333.0,1.0,714716.2874000008,0.016028,5.0,5.001085,570.0,1.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,17,240,480,400.0,1.0,714716.2874000008,0.016028,5.0,5.001085,570.0,1.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,18,240,480,504.0,1.0,714716.2874000008,0.016028,5.0,5.001085,570.0,1.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,19,240,480,417.0,1.0,714716.2874000008,0.016028,5.0,5.001085,570.0,1.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,2,240,480,521.0,1.0,714716.2874000008,0.016028,5.0,5.001085,570.0,1.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,20,240,480,511.0,1.0,714716.2874000008,0.016028,5.0,5.001085,570.0,1.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,21,240,480,530.0,1.0,714716.2874000008,0.016028,5.0,5.001085,570.0,1.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,22,240,480,288.0,1.0,714716.2874000008,0.016028,5.0,5.001085,570.0,1.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,23,240,480,432.0,1.0,714716.2874000008,0.016028,5.0,5.001085,570.0,1.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,3,240,480,570.0,1.0,714716.2874000008,0.016028,5.0,5.001085,570.0,1.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,4,240,480,570.0,1.0,714716.2874000008,0.016028,5.0,5.001085,570.0,1.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,5,240,480,570.0,1.0,714716.2874000008,0.016028,5.0,5.001085,570.0,1.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,6,240,480,340.0,1.0,714716.2874000008,0.016028,5.0,5.001085,570.0,1.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,7,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,495.0,1.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,8,240,480,339.0,1.0,714716.2874000008,0.016028,5.0,5.001085,555.0,1.0,609551.1779999998,0.21164578400021128,0
5,natural_gas_fired_combined_cycle,9,240,480,251.0,1.0,714716.2874000008,0.016028,5.0,5.001085,473.0,1.0,609551.1779999998,0.21164578400021128,0
6,natural_gas_fired_combined_cycle,0,240,480,150.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
6,natural_gas_fired_combined_cycle,1,240,480,235.0,1.0,714716.2874000008,0.016028,5.0,5.001085,325.0,1.0,609551.1779999998,0.21164578400021128,0
6,natural_gas_fired_combined_cycle,10,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
6,natural_gas_fired_combined_cycle,11,240,480,150.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
6,natural_gas_fired_combined_cycle,12,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
6,natural_gas_fired_combined_cycle,13,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
6,natural_gas_fired_combined_cycle,14,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
6,natural_gas_fired_combined_cycle,15,240,480,150.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
6,natural_gas_fired_combined_cycle,16,240,480,150.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
6,natural_gas_fired_combined_cycle,17,240,480,150.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
6,natural_gas_fired_combined_cycle,18,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
6,natural_gas_fired_combined_cycle,19,240,480,150.0,1.0,714716.2874000008,0.016028,5.0,5.001085,156.0,1.0,609551.1779999998,0.21164578400021128,0
6,natural_gas_fired_combined_cycle,2,240,480,150.0,1.0,714716.2874000008,0.016028,5.0,5.001085,320.0,1.0,609551.1779999998,0.21164578400021128,0
6,natural_gas_fired_combined_cycle,20,240,480,150.0,1.0,714716.2874000008,0.016028,5.0,5.001085,150.0,1.0,609551.1779999998,0.21164578400021128,0
6,natural_gas_fired_combined_cycle,21,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
6,natural_gas_fired_combined_cycle,22,240,480,178.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
6,natural_gas_fired_combined_cycle,23,240,480,150.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
6,natural_gas_fired_combined_cycle,3,240,480,150.0,1.0,714716.2874000008,0.016028,5.0,5.001085,226.0,1.0,609551.1779999998,0.21164578400021128,0
6,natural_gas_fired_combined_cycle,4,240,480,198.0,1.0,714716.2874000008,0.016028,5.0,5.001085,150.0,1.0,609551.1779999998,0.21164578400021128,0
6,natural_gas_fired_combined_cycle,5,240,480,206.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
6,natural_gas_fired_combined_cycle,6,240,480,150.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
