Generators,Resources,Periods,Problem size,Generated energy variable classical,Commitment variable classical,Start variable classical,Shut variable classical,Operational cost classical,CPU time
11,natural_gas_fired_combustion_turbine,5,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
11,natural_gas_fired_combustion_turbine,6,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
11,natural_gas_fired_combustion_turbine,7,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
11,natural_gas_fired_combustion_turbine,8,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
11,natural_gas_fired_combustion_turbine,9,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
11,natural_gas_fired_combustion_turbine,10,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
11,natural_gas_fired_combustion_turbine,11,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
11,natural_gas_fired_combustion_turbine,12,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
11,natural_gas_fired_combustion_turbine,13,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
11,natural_gas_fired_combustion_turbine,14,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
11,natural_gas_fired_combustion_turbine,15,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
